user_id,full_name,email,signup_date,plan_type,home_location,acquisition_channel,cohort_month,company_size,role_bucket,visit_pref,churn_risk,price_sensitivity,activity_bias,is_active
U000001,User 1,user1@example.com,2025-09-21,Standard,Jeddah - Corniche,Organic,2025-09-01,51-200,Sales,Midday,0.4,0.66,0.4,True
U000002,User 2,user2@example.com,2025-08-15,Pro,Riyadh - Olaya,Organic,2025-08-01,2-10,Founder,Morning,0.3399999999999999,0.73,0.69,True
U000003,User 3,user3@example.com,2025-10-11,Flex,Jeddah - Corniche,Paid,2025-10-01,11-50,Engineer,Afternoon,0.54,0.39,0.39,True
U000004,User 4,user4@example.com,2025-09-30,Flex,Riyadh - Olaya,Paid,2025-09-01,Solo,Other,Afternoon,0.24,0.46,0.39,True
U000005,User 5,user5@example.com,2025-08-21,Flex,Riyadh - Olaya,Referral,2025-08-01,200+,Other,Midday,0.3299999999999999,0.64,0.47,True
U000006,User 6,user6@example.com,2025-10-22,Flex,Jeddah - Corniche,Organic,2025-10-01,51-200,Sales,Midday,0.1699999999999999,0.28,0.3299999999999999,True
U000007,User 7,user7@example.com,2025-10-26,Enterprise,Riyadh - Olaya,Organic,2025-10-01,200+,Founder,Morning,0.38,0.49,0.6399999999999999,True
U000008,User 8,user8@example.com,2025-10-14,Flex,Riyadh - Olaya,Paid,2025-10-01,2-10,Designer,Afternoon,0.19,0.12,0.5,True
U000009,User 9,user9@example.com,2025-10-14,Enterprise,Riyadh - Olaya,Organic,2025-10-01,200+,Analyst,Morning,0.1699999999999999,0.0,0.58,True
U000010,User 10,user10@example.com,2025-10-27,Enterprise,Riyadh - Olaya,Organic,2025-10-01,2-10,Analyst,Morning,0.41,0.33,0.6499999999999999,True
U000011,User 11,user11@example.com,2025-08-24,Flex,Riyadh - Olaya,Organic,2025-08-01,200+,Analyst,Midday,0.3,0.47,0.45,True
U000012,User 12,user12@example.com,2025-08-03,Flex,Riyadh - Olaya,Paid,2025-08-01,Solo,Designer,Afternoon,0.29,0.76,0.39,True
U000013,User 13,user13@example.com,2025-08-22,Standard,Jeddah - Corniche,Referral,2025-08-01,Solo,Other,Afternoon,0.49,0.47,0.43,True
U000014,User 14,user14@example.com,2025-09-22,Pro,Riyadh - Olaya,Partnership,2025-09-01,Solo,Founder,Afternoon,0.26,0.48,0.52,True
U000015,User 15,user15@example.com,2025-08-02,Flex,Riyadh - Olaya,Referral,2025-08-01,Solo,Designer,Midday,0.4,0.63,0.46,True
U000016,User 16,user16@example.com,2025-10-27,Standard,Jeddah - Corniche,Partnership,2025-10-01,Solo,Analyst,Midday,0.48,0.6,0.3299999999999999,True
U000017,User 17,user17@example.com,2025-08-30,Standard,Riyadh - Olaya,Organic,2025-08-01,Solo,Sales,Midday,0.37,0.28,0.46,True
U000018,User 18,user18@example.com,2025-09-07,Pro,Riyadh - Digital City,Referral,2025-09-01,2-10,Engineer,Midday,0.4499999999999999,0.38,0.61,True
U000019,User 19,user19@example.com,2025-08-02,Enterprise,Riyadh - Olaya,Partnership,2025-08-01,51-200,Designer,Midday,0.3399999999999999,0.87,0.7,True
U000020,User 20,user20@example.com,2025-10-03,Flex,Jeddah - Corniche,Paid,2025-10-01,200+,Designer,Afternoon,0.26,0.25,0.41,True
U000021,User 21,user21@example.com,2025-09-29,Pro,Jeddah - Corniche,Paid,2025-09-01,Solo,Founder,Morning,0.37,0.16,0.6599999999999999,True
U000022,User 22,user22@example.com,2025-08-21,Flex,Jeddah - Corniche,Referral,2025-08-01,2-10,Founder,Afternoon,0.18,0.7,0.39,True
U000023,User 23,user23@example.com,2025-09-02,Standard,Riyadh - Olaya,Referral,2025-09-01,2-10,Designer,Morning,0.37,0.12,0.44,True
U000024,User 24,user24@example.com,2025-10-15,Standard,Dammam - Waterfront,Organic,2025-10-01,2-10,Analyst,Midday,0.15,0.68,0.42,True
U000025,User 25,user25@example.com,2025-09-27,Enterprise,Dammam - Waterfront,Referral,2025-09-01,51-200,Engineer,Morning,0.39,0.25,0.59,True
U000026,User 26,user26@example.com,2025-08-22,Standard,Riyadh - Olaya,Organic,2025-08-01,200+,Founder,Afternoon,0.16,0.48,0.5,True
U000027,User 27,user27@example.com,2025-10-28,Standard,Riyadh - Olaya,Organic,2025-10-01,51-200,Analyst,Afternoon,0.4399999999999999,0.66,0.4,True
U000028,User 28,user28@example.com,2025-09-18,Pro,Riyadh - Olaya,Paid,2025-09-01,11-50,Sales,Morning,0.1699999999999999,0.06,0.5599999999999999,True
U000029,User 29,user29@example.com,2025-10-30,Flex,Jeddah - Corniche,Paid,2025-10-01,2-10,Founder,Midday,0.35,0.57,0.49,True
